Biology Factoid Questions|||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer
Embriyonun tutunması için döl yatağının hazırlanmasını sağlayan hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|progesteron
Embriyoya besin maddelerini sağlayan keseye ne denir?|keseye||ENTITY|ANIMAL.STRUCTURE|Vitellüs kesesi
Embriyoyu dıştan kuşatan ilk zara ne denir?|zara|ilk|ENTITY|ANIMAL.STRUCTURE|Amniyon zarı
Embriyoyu koruyan en dış tabakaya ne denir?|tabakaya|en dış|ENTITY|ANIMAL.STRUCTURE|Koriyon
En fazla tür içeren alem hangi alemdir?|alemdir||ENTITY|ANIMAL|Hayvanlar alemi
Endokrin bezlerinin karşılıklı etkileşimi ile kanda hormon dengesinin sağlanmasına ne ad verilir?|sağlanmasına||DESCRIPTION|DEFINITION|geri bildirim
Enerji elde etme sürecinde meydana gelen atıkların canlı  ücudundan dışarı atılması olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|Boşaltım
Enzimlerin protein kısmına ne denir?|protein kısmına||ENTITY|SYNTHESIZED|Apoenzim
Ergin bireylerin bronşlarında, soluk borusunda, burunda, kemiklerin eklem başlarında ve kaburga uçlarında yer alan kıkırdak, hangi kıkırdak türüne örnektir?|kıkırdak türüne||ENTITY|ANIMAL.STRUCTURE|hiyalin kıkırdak  
Ergin kurbağalarda, sürüngenlerde, kuş ve memelilerde görülen solunum türü nedir?|solunum türü||ENTITY|PROCESS.ANIMAL|akciğer solunumu  
Erkek organda olgunlaşan polenin dişi organın tepeciğine taşınması olayına ne ad verilir?|olayına||ENTITY|PROCESS.PLANT|tozlaşma
Erkek üreme sisteminden salgılanan ana hormon nedir?|hormon|ana|ENTITY|SYNTHESIZED.HORMONE|Testosteron
Erkek ve dişi organı birlikte bulunduran çiçeklere ne denir?|çiçeklere||DESCRIPTION|DEFINITION|Tam çiçek
Ernst Haeker protista alemini ilk kez ne zaman önermiştir?|zaman önermiştir||TEMPORAL|DATE|1866
Eşeyli üreyen canlılarda erkek ve dişi üreme hücrelerinin birleştirilmesiyle yavru bireyler elde edilmesi olayına ne ad verilir?|olayına||DESCRIPTION|DEFINITION|çaprazlama
Eter hücre zarından nasıl geçebilir?|eter geçebilir||DESCRIPTION|DESCRIPTION|Evet
Farklı cinsiyete ait gametlerin döllenme ile zigot oluşturmasına ne denir?|oluşturmasına||ENTITY|PROCESS.ANIMAL|Eşeyli üreme
Farklı ortam koşullarında bir canlının fenotipinde meydana gelen değişikliklere ne ad verilir?|değişikliklere||DESCRIPTION|DEFINITION|modifikasyon
Farklı türlerin bireyleri arasındaki rekabete ne ad verilir?|rekabete||DESCRIPTION|DEFINITION|Türler arası rekabet  
Fazla salgılandığında bitki büyümesini durduran, az salgılandığında ise yaprak dökülmesine sebep olan hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|Oksin
Fibroblast hangi dokunun hücresidir?|dokunun||ENTITY|TISSUE|Temel bağ doku
Filler ve fillerin üzerinde yaşayan parazitleri yiyen kuş türlerinin arasındaki ilişki hangi yaşam şekline örnektir?|yaşam şekline||DESCRIPTION|DEFINITION|gevşek mutualizm  
Floemde taşımanın iki yönlü olmasını, fotosentez sonucu glikoz, amino asit gibi organik moleküllerin yapraklardan köke doğru taşınmasını; köklerde sentezlenen amino asit ve diğer azotlu organik moleküllerin de kökten yapraklara doğru taşınmasını açıklayan teori nedir?|teori||DESCRIPTION|THEOREM|basınç-akış teorisi
Floem'in diğer adı nedir?|adı|diğer|ENTITY|PLANT.STRUCTURE|Soymuk borusu
Folikülün gelişmesini ve yumurtanın üretimini uyaran hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|FSH
Fotosentez hangi organelde yapılır?|organelde||ENTITY|ORGANELLE|Kloroplast
Fotosentezde ışık ve karbondioksitin etkisi ilk kez hangi yıl açıklanmıştır?|yıl||TEMPORAL|DATE|1779
Fotosentezde ışık ve karbondioksitin etkisini bulan kimdir?|bulan||HUMAN|INDIVIDUAL|Jan Ingenhousz
Fotosentezin yoğun olarak gerçekleştiği, gaz alış verişinin yapıldığı, yaprağın yassılaşmış, ince ve yeşil kısmına ne ad verilmektedir?|kısmına|ince ve yeşil|ENTITY|SECTION.PLANT|yaprak ayası  
Gametlerin meydana getirilmesi olayına ne denir?|olayına||DESCRIPTION|DEFINITION|Gametogenez
Gastrula sahfasında meydana gelen tabakalardan farklı organlar gelişmesine ne denir?|gelişmesine||ENTITY|PROCESS.ANIMAL|Organogenez
Gaz alış verişini vücut yüzeyinden difüzyonla yapan organizma türü nedir?|organizma türü||DESCRIPTION|DESCRIPTION|bir hücreli organizmalar  
GDO’lu ürünleri tüketen insanlarda en sık görülen sağlık riski nedir?|sağlık riski||ENTITY|DISEASE|besin alerjisi  
Genetik bilginin yeni hücrelere aktarılması hangi molekül ile sağlanır?|molekül||ENTITY|PROPER NOUN|DNA
Genetik maddenin iki hücreye bölüştürüldüğü mitoz aşaması hangisidir?|mitoz aşaması||ENTITY|PHASE|Anafaz
Genleri gonozomlar üzerinde taşınan karakterlere ne ad verilir?|karakterlere||DESCRIPTION|DEFINITION|eşeye bağlı karakter  
Genlerin ve DNA parçalarının klonlanabilmesi için kullanılan, bakterilerde kromozom dışında bulunan ve kendi kendine bölünebilen küçük halkasal yapıdaki DNA’lara ne ad verilir?|DNA'lara||ENTITY|PROPER NOUN|Plazmit
Genotip ve çevresel faktörlerin etkisiyle ortaya çıkan dış görünüşe ne denir?|dış görünüşe||DESCRIPTION|DEFINITION|fenotip
Genotipi bilinmeyen baskın fenotipli birey arasında yapılan çaprazlama olayına ne denir?|çaprazlama olayına||DESCRIPTION|DEFINITION|kontrol çaprazlama  
Geviş getiren memeliler, geviş getirme işleminden sonra tekrar yuttukları besinleri midenin hangi bölümüne besinlerdeki suyun büyük kısmının emilmesi için gönderirler?|bölümüne||ENTITY|SECTION.ANIMAL|kırkbayır
Geviş getiren memelilerde kimyasal sindirim için gerekli enzimler hangi kısmın hücrelerinde üretilir?|kısmın||ENTITY|SECTION.ANIMAL|Şirden
Geviş getiren memelilerin mide yapılarında ne vardır?|vardır||ENTITY|SECTION.ANIMAL|işkembe, börkenek, kırkbayır ve şirden  
Glikojen nerede depo edilir?|depo edilir||LOCATION|LOCATION|kaslarda
Glomerulusun etrafını tamamen saran, nefron kanalcığınıın genişlemiş başlangıç kısmına ne ad verilir?|kısmına|başlangıç|ENTITY|PROPER NOUN|Bowman kapsülü  
Göğüs boşluğunda, iki akciğerin arasında yer alan yumruk büyüklüğünde ve koni şeklinde olan organ nedir?|organ||ENTITY|ORGAN|kalp
Görme merkezi olan beyin lobu hangisidir?|beyin lobu||ENTITY|SECTION.ANIMAL|oksipital
Görme sinirlerinin retinadan çıktığı noktaya ne ad verilir?|noktaya||DESCRIPTION|DEFINITION|kör nokta
Gövdenin kökle birleştiği yerde hemen hemen aynı uzunlukta çok sayıda yan kökün bulunduğu, ana kökün fazla gelişmediği kök çeşidi hangisidir?|kök çeşidi||ENTITY|SECTION.PLANT|saçak kök  
Gözle görülmeyecek kadar küçük olan varlıkları belirli oranlarda büyüterek incelemeye yarayan araca ne ad verilir?|araca||DESCRIPTION|DEFINITION|Mikroskop
Gözün en iç kısmında bulunan, mercekten kırılan ışınların geldiği göz tabakasına ne ad verilir?|göz tabakasına||ENTITY|TISSUE|retina
Granülsüz akyuvarların en büyüğüne ne ad verilir?|akyuvarların en büyüğüne|granülsüz|ENTIRY|CELL.TYPE|monosit
Halkalı solucanlarda baş bölgesinde beyin görevi yapan sinir hücresi topluluğuna ne ad verilir?|sinir hücresi topluluğuna||ENTIRY|CELL.TYPE|gangliyon
Halkalı solucanlardaki boşaltım organına ne ad verilir?|boşaltım organına||ENTITY|ORGAN|nefridyum
Halkalı solucanların kan hücrelerinde bulunan kırmızı renkli solunum pigmenti nedir?|solunum pigmenti|kırmızı renkli|ENTITY|SYNTHESIZED|hemoeritrin
Halkalı solucanların plazmasında bulunan yeşil renkli solunum pigmenti nedir?|solunum pigmenti|yeşil renkli|ENTITY|SYNTHESIZED|klorokrüorin
Hamileliğin sekizinci haftasından doğuma kadar olan sürece ne denir?|sürece||ENTITY|PHASE|Fetal evre
Hangi durumda kasın hacim ve kütlesinde değişme olmaz?|durumda||ENTITY|PROCESS.ANIMAL|kasılma
Hangi makro elementin eksikliğinde bitkilerde protein sentezi engellenir?|elementin|makro|ENTITY|ELEMENT|magnezyum
Hangi sindirim sonucunda, karbonhidratlar monosakkaritlere, yağlar gliserol ve yağ asitlerine, proteinler de amino asitlere parçalanır?|sindirim||ENTITY|PROCESS.ANIMAL|kimyasal sindirim  
Hangi sindirimde enzimler kullanılmaz?|sindirimde||ENTITY|PROCESS.ANIMAL|mekanik sindirim  
Hangi solunumu yapan organizmaların kanında solunum gazları taşınmaz?|solunumu||ENTITY|PROCESS.ANIMAL|trake solunumu
Hangi tür dolaşım sisteminde kılcal damar bulunmaz?|tür dolaşım sisteminde||ENTITY|ANIMAL.SYSTEM|açık dolaşım  
Hangi üreme şekli sonucu bakterilerde, antibiyotiklere karşı direnç gelişir?|üreme şekli||ENTITY|PROCESS.ANIMAL|Konjugasyon
Hareket ve denge merkezi olan beyin bölgesi neresidir?|beyin bölgesi||ENTITY|ORGAN|beyincik
Hareket, duyu ve sinir sistemleri basit yapıda olmasına karşın üreme sistemleri çok gelişmiş olan hayvansal parazitlere ne denir?|hayvansal parazitlere||DESCRIPTION|DEFINITION|iç parazit  
Hareketi sınırlı olan ekleme ne ad verilir?|ekleme||DESCRIPTION|DEFINITION|az oynar eklem  
Hastalanmış kişilere başka bir canlının vücudunda geliştirilen antikorların hazır olarak verilmesine ve bu yolla bağışıklık kazanmasına ne ad verilir?|bağışıklık kazanmasına||ENTITY|PROCESS.ANIMAL|pasif bağışıklık  
Hastalık anında vücuda verilerek antikor takviyesi yapan ve vücudun direncini arttıran, at ve sığır gibi hayvanların kanından elde edilen sıvıya ne denir?|sıvıya||ENTITY|MEDICINE|serum
Hastalık etkeni mikroorganizmaların ya da mikroorganizmalara ait maddelerin vücuda girmesi durumunda vücudun bu antijenlere karşı B ve T lenfositleri ile savunma yapmasına ne ad verilir?|yapmasına||ENTITY|PROCESS.ANIMAL|aktif bağışıklık  
Hastalık yapan bu mikroorganizmaları vücudun yabancı olarak tanımasına ve bunlara karşı kendini korumak ve savunmak için gösterdiği tepkiye ne ad verilir?|tepkiye||DESCRIPTION|DEFINITION|bağışıklık 
Hastalık yapıcı bakterilere ne denir?|bakterilere||ENTIRY|BACTERIA.TYPE|Patojen
Hastalıklara karşı bağışıklık sağlama amacı ile insan veya hayvan vücuduna verilen zayıflatılmış hastalık virüsüne ne ad verilir?|hastalık virüsüne||ENTITY|SUBSTANCE|aşı 
Hayvan türlerinin ilk sınıflandırılması kaç yılında yapılmıştır?|yılında yapılmıştır||NUMERIC|COUNT|350
Hayvanlar, bitkiler, mantarlar, protestalar ve monera sınıfları ilk ne zaman önerilmiştir?|zaman önerilmiştir||TEMPORAL|DATE|1959
Hayvanlar, bitkiler, mantarlar, protestalar ve monera sınıflarını ilk öneren bilim insanı kimdir?|bilim insanı||HUMAN|INDIVIDUAL|Robert whittaker
Hayvanlarda embriyonal gelişimde, nörilasyon aşamasından sonra hangi safha görülür?|safha||ENTITY|PHASE|Organogenez
Hayvanları koruma günü ne zaman kutlanır?|zaman kutlanır||TEMPORAL|DATE|4-Oct
Hayvanların hücre yapısı nasıldır?|hücre yapısı||ENTIRY|CELL.TYPE|Ökaryot
Hayvanların hücrelerden oluştuğu ilk ne zaman belirtilmiştir?|zaman belirtilmiştir||TEMPORAL|DATE|1839
Hayvanların hücrelerden oluştuğunu ilk kim belirtmiştir?|belirtmiştir||HUMAN|INDIVIDUAL|Theodore Schwann
Hayvanlarla ilgili bilinen en eski fosil kaç yıllıktır?|yıllıktır||NUMERIC|AVERAGE|760 milyon yıl
Hem çekirdekte hem de sitoplazmada bulunan tek nükleotit zincirinden oluşan nükleik aisite ne denir?|nükleik asite||ENTITY|PROPER NOUN|RNA
Hem erkek hem de dişi üreme hücrelerine sahip olan canlının kendi kendini döllemesine ne ad verilir?|döllemesine|kendi kendini|DESCRIPTION|DEFINITION|Hermafroditizm
Hem erkek hem dişi üreme organı bulunduran canlılalara ne denir?|canlılara||DESCRIPTION|DEFINITION|Hermafrodit
Hem karanın hem denizin en yüksek ses çıkaran canlısı hangisidir?|canlısı||ENTITY|ANIMAL|Karides
Hem ökaryot hem prokaryot hücrelerde protein sentezi görevi gören organelin adı nedir?|organelin adı||ENTITY|ORGANELLE|Ribozom
Hem safranın safra kanalına boşalmasını hem de pankreas enzimlerinin salgılanmasını sağlayan, sindirim sisteminde görev alan hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|kolesistokinin
Hemoglobinin oksijenle birleşerek oluşturduğu yapıya ne ad verilir?|yapıya||ENTITY|SUBSTANCE|oksihemoglobin
Heparin ve histamin salgılayan granüllü akyuvarlara ne ad verilir?|akyuvarlara|granüllü|ENTIRY|CELL.TYPE|bazofil
HES'in açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Hidroelektrik santrali
Heterozigot bireylerin iki homozigot atanın arasında bir fenotip göstermesi olayına ne ad verilir?|olayına||DESCRIPTION|DEFINITION|eksik baskınlık  
Heterozigot durumunda fenotipte etkisini gösterebilen gene ne ad verilir?|gene||DESCRIPTION|DEFINITION|dominant(baskın)  
Heterozigot durumunda fenotipte etkisini gösteremeyen gene ne ad verilir?|gene||DESCRIPTION|DEFINITION|resesif(çekinik)  
Heyecan, korku, sinirlenme gibi durumlarda kanda miktarı artan hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|adrenalin
Hipotalamusun alt kısmında bulunan, iç salgı bezlerinin çalışmasını düzenleyen yapıya ne denir?|yapıya||ENTITY|ANIMAL.STRUCTURE|hipofiz bezi 
Hipotezin, gözlem ve deneylerle sürekli desteklenmesi ile hangi bilimsel basamağa ulaşılır?|bilimsel basamağa||DESCRIPTION|DEFINITION|Teori
Hücre bölümesi esnasında kısalıp kalınlaşarak kromozomları oluşturan yapıya ne ad verilir?|yapıya||ENTITY|ORGANELLE|Kromatin iplikçiği
Hücre bölümesinde eşleşen, çoğalmada rol alan organelin adı nedir?|organelin adı||ENTITY|ORGANELLE|Sentrozom
Hücre çekirdeğine sahip yapıdaki canlılara ne denir?|canlılara||ENTITY|ENTITY|Ökaryot
Hücre çeperleri selüloz, lignin gibi maddelerin birikimi ile kalınlaşan, kalınlaştıkça madde alış verişinin durduğu ve hücrenin öldüğü temel doku hücresi nedir?|doku hücresi|temel|ENTIRY|CELL.TYPE|sklerenkima hücreleri  
Hücre içi sindirim artıkları ile bazı metabolik tepkimeler sonucunda ortaya çıkan atıkların hücre dışına atılması olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|Ekzositoz
Hücre içi sindirimde görevli olan organelin adı nedir?|organelin adı||ENTITY|ORGANELLE|Lizozom
Hücre içinde enerji üretimden sorumlu organelin adı nedir?|organelin adı||ENTITY|ORGANELLE|Mitokondri
Hücre içindeki suyun hücre zarına yaptığı basınca ne denir?|basınca||DESCRIPTION|DEFINITION|Turgor basıncı
Hücre kavramı ilk ne zaman kullanılmıştır?|zaman kullanılmıştır||TEMPORAL|DATE|1650
Hücre kavramını ilk kez kim kullanmıştır?|kullanmıştır||HUMAN|INDIVIDUAL|Robert Hooke
Hücre kavramını kullanan ilk kişi kimdir?|kişi||HUMAN|INDIVIDUAL|Robert Hooke
Hücre yapısındaki yapı ve işlev bozukluklarının vücut dışında uygun ortamlarda gözlenmesine ne denir?|gözlenmesine||DESCRIPTION|DEFINITION|Hücre kültürü
Hücre zarı ile çekirdek arasını dolduran, yumurtanın akına benzer yarı akışkan sıvıdan oluşan yapıya ne ad verilir?|yapıya||ENTITY|PROCESS.ANIMAL|Sitoplazma
Hücre zarı yapısı ve farklı genetik özellikleri nedeniyle farklı bir grup altında incelenen bakterilere ne denir?|bakterilere||ENTIRY|BACTERIA.TYPE|Arkebakteriler
Hücre zarından belirli moleküllerin geçebilmesi özelliğine ne denir?|özelliğine||DESCRIPTION|DESCRIPTION|Seçici geçirgenlik
Hücre zarından geçemeyecek büyüklükteki maddelerin hücre içine alınmasına ne denir?|alınmasına||ENTITY|PROCESS.ANIMAL|Endositoz
Hücre zarından geçemeyecek büyüklükteki maddelerin hücre zarından yalancı ayaklar ile hücre içine alınmasına ne denir?|alınmasına||ENTITY|PROCESS.ANIMAL|Fagositoz
hücre zarından hücre çekirdeğine kadar uzanan kanallar sistemine ne denir?|kanallar sistemine||ENTITY|ORGANELLE|Endoplazmik retikulum
Hücrede ATP üretim merkezi neresidir?|ATP üretim merkezi||ENTITY|ORGANELLE|Mitokondri
Hücrede en çok bulunan RNA çeşidi nedir?|RNA çeşidi||ENTITY|PROPER NOUN|rRNA ribozomal RNA  
Hücrelerde kimyasal reaksiyonları başlatmak için gerekli olan enerjiye ne ad verilir?|enerjiye||DESCRIPTION|DEFINITION|Aktivasyon
Hücrelere yeterli oksijen taşınamadığı için vücut sıcaklıklarını sabit tutacak ısıyı üretemeyen canlılara ne ad verilir?|canlılara||DESCRIPTION|DESCRIPTION|soğukkanlı canlılar  
Hücrelerin birinci dereceden enerji kaynağı nedir?|enerji kaynağı||ENTITY|SUBSTANCE|Karbonhidratlar
Hücrelerin bölünme için hazırlık yaptıkları evre hangisidir?|evre||ENTITY|PHASE|İnterfaz
Hücrenin asit-baz dengesini sağlayabilmek için sitoplazmada iyon halinde bulunan madde nedir?|madde||ENTITY|SUBSTANCE|NaCl-Sodyum Klorür
Hücrenin en dış kısımda bulunan, hücreyi dış etkilerden koruyan, genellikle selüloz fibriller içeren yapıya ne denir?|yapıya||ENTITY|ORGANELLE|Hücre duvarı
Hücrenin enerji santrallerine ne ad verilir?|enerji santrallerine||ENTITY|ORGANELLE|Mitokondri
Hücrenin kendi kendini sindirmesi olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|Otoliz
Hücrenin kendisinden daha az yoğun olan ortama ne denir?|ortama||DESCRIPTION|DEFINITION|Hipotonik
Hücrenin kendisinden daha yoğun olan ortama ne denir?|ortama||DESCRIPTION|DEFINITION|Hipertonik
Hücrenin kendisiyle eş yoğunluğa sahip olan ortama ne denir?|ortama||DESCRIPTION|DEFINITION|Hipotonik
Hücrenin yapı, görev ve çoğalma ile ilgili özelliklerini inceleyen bilim dalının adı nedir?|bilim dalının adı||DESCRIPTION|DEFINITION|Sitoloji
Hücrenin, kendisini virüslerden korumak için ürettiği maddelere ne ad verilir?|maddelere||ENTITY|SUBSTANCE|İnterferon
Hücreyi ilk olarak tanımlayan bilim adamı kimdir?|bilim adamı||HUMAN|INDIVIDUAL|Robert Hooke
I bandının ortasında bulunan çizgiye ne ad verilir?|çizgiye||DESCRIPTION|DEFINITION|Z çizgisi  
İbn-ün-nefis kılcal damar ve koroner dolaşımı kaç yılında bulmuştur?|yılında||TEMPORAL|DATE|1030
İçinde kromatin iplik, çekirdekçik, mineral ve proteinlerin bulunduğu çekirdek bölümüne ne ad verilir?|çekirdek bölümüne||ENTITY|ORGANELLE|Çekirdek plazması
İdrar kesesinin dolması durumunda idrarın dışarı atılması hangi üreter sistemiyle gerçekleşir?|üreter sistemiyle||ENTITY|ANIMAL.STRUCTURE|üretra
İdrarın idrar kesesine taşınmasından sorumlu olan yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|üreter
İğ iplikleri oluşturarak hücre bölünmesinde görev alan organel hangisidir?|organel||ENTITY|ORGANELLE|Sentrozom
İki basit şeker molekülünün birleşmesiyle oluşan şekerlere ne isim verilir?|şekerlere||ENTITY|SUBSTANCE|Disakkaritler
İki cinse ait üreme organlarını bulunduran canlılara ne denir?|canlılara||DESCRIPTION|DEFINITION|Hermafrodit
İki farklı türe ait bireyin ya da popülasyonun yarar ve zarar gözetilmeden birlikte yaşamasına ne denir?|yaşamasına|birlikte|DESCRIPTION|DEFINITION|simbiyoz(birlikte yaşam)  
İki hücre teorisini ortaya atan bilim adamı kimdir?|bilim adamı||HUMAN|INDIVIDUAL|Schleiden ve Schwann
İki karakter bakımından heterozigot olan bireylere ne ad verilir?|bireylere||DESCRIPTION|DEFINITION|dihibrit  
İki tek hücrelinin kalıtsal materyal değiş tokuş ederek çoğalmasına ne denir?|çoğalmasına||ENTITY|PROCESS.ANIMAL|Konjugasyon
İki türden birinin birliktelikten yararlanırken diğer türün etkilenmediği yaşam şekline ne ad verilir?|yaşam şekline||DESCRIPTION|DEFINITION|kommensalizm
İki ya da daha fazla türün karşılıklı yarar sağladıkları yaşam şekline ne ad verilir?|yaşam şekline||DESCRIPTION|DEFINITION|mutualizm
İki yaşamlılarda döllenme ve gelişme nerede gerçekleşir?|gerçekleşir||LOCATION|LOCATION|Su altında
İki Z çizgisi arasındaki bölgede bulunan, kasılma birime ne ad verilir?|kasılma birime||DESCRIPTION|DEFINITION|sarkomer
İkiden fazla basit şeker molekülünün bir araya gelip, birleşerek meydana getirdikleri yeni kompleks moleküle ne denir?|moleküle|yeni kompleks|ENTITY|SUBSTANCE|Polisakkarit
İkili adlandırma kaç yılında bulunmuştur?|yılında bulunmuştur||TEMPORAL|DATE|1753
İkili adlandırmayı bilim dünyasına kazandıran kişi kimdir?|kişi||HUMAN|INDIVIDUAL|Carolus Linneaus
İkili adlandırmayı kim bulmuştur?|adlandırmayı bulmuştur||HUMAN|INDIVIDUAL|Carolus Linneaus
İlaçlar, bazı asit ve bazlar, zehirli maddeler, amonyak, boya gibi bazı atık maddelerin aktif taşıma ile nefron kanalcıklarını saran kılcal damarlardan nefron kanalcıklarına verilen olaya ne ad verilir?|olaya||ENTITY|PROCESS.ANIMAL|salgılama
İlk hayvan klonlamasını kim gerçekleştirmiştir?|gerçekleştirmiştir||HUMAN|INDIVIDUAL|Ian Wilmut
İlk hayvan ne zaman klonlanmıştır?|zaman klonlanmıştır||TEMPORAL|DATE|1997
İlk klonlanan hayvan hangisidir?|hayvan||DESCRIPTION|DESCRIPTION|Koyun
İlk mikroskopu kim icat etmiştir?|icat etmiştir||HUMAN|INDIVIDUAL|Zacharias Janssen
İlk nükleer enerji santrali kaç yılında açılmıştır?|yılında açılmıştır||TEMPORAL|DATE|1954
İlk nükleer enerji santrali nerede açılmıştır?|enerji santrali açılmıştır||ENTITY|PROPER NOUN|Sovyetler birliği
İlk organik sentetik boya nedir?|boya|organik sentetik|HUMAN|INDIVIDUAL|Anilin moru
İnce bağırsağın iç yüzeyindeki epitel dokunun bağırsak boşluğuna doğru oluşturduğu, emilme yüzeyini genişleten kıvrımlara ne denir?|kıvrımlara||ENTITY|SECTION.ANIMAL|villus 
İnce bağırsakta bulunan, villusları oluşturan epitel hücrelerinde bulunan sitoplazmik uzantılara ne denir?|uzantılara|sitoplazmik|ENTITY|SECTION.ANIMAL|mikrovillus
İnce bağırsaktan sonra başlayan ve anüs ile sonlanan boru şeklinde yapı nedir?|yapı||ENTITY|ORGAN|kalın bağırsak  
İnce ve kalın bağırsağın birleştiği yerde ne bulunmaktadır?|bulunmaktadır||ENTITY|ORGAN|kör bağırsak  
İnce yapıda olduğundan ışığı az kıran ve dolayısıyla o bölgenin açık renkli görünmesini sağlayan, kas yapısında bulunan iplikçik hangisidir?|iplikçik||DESCRIPTION|DEFINITION|aktin
İndigo ilk ne zaman üretilmiştir?|zaman üretilmiştir||TEMPORAL|DATE|1867
İndigo'yu kim üretmiştir?|üretmiştir||HUMAN|INDIVIDUAL|Adolf van Baeyer
İnsan beyninin en büyük kısmına ne ad verilir?|kısmına|en büyük|ENTITY|SECTION.ANIMAL|ön beyin  
İnsan genom projesi ne zaman tamamlanmıştır?|zaman tamamlanmıştır||TEMPORAL|DATE|2003
İnsan sindirim sistemindeki dudak, yanak, damak ve yutakla çevrilmiş boşluğa ne ad verilir?|boşluğa||ENTITY|SECTION.ANIMAL|ağız 
İnsan vücudunda bütün doku ve organları oluşturan ana hücrelere ne denir?|ana hücrelere||ENTITY|ORGANELLE|Kök hücre
İnsan vücudunda, miktarı ölçülebilen şeker hangisidir?|şeker||ENTITY|SUBSTANCE|Glikoz
İnsan vücut hücresinde kaç kromozom bulunur?|kromozom bulunur||NUMERIC|COUNT|46
İnsanda kullanılan ilk antibiyotik nedir?|antibiyotik||ENTITY|MEDICINE|Penisilin
İnsanda meydana gelen mantar hastalıklarının genel terimi nedir?|terimi|genel|ENTITY|DISEASE|Mikozis
İnsanda normal bir gebelik süresi kaç gündür?|gündür||NUMERIC|COUNT|280
İnsanda protein sindirimi hangi organda tamamlanır?|organda||ENTITY|ORGAN|İnce bağırsak
İnsanlar, hayvanlar ve bazen bitkilerde ortaya çıkan bakteriyel enfeksiyonları tedavi etmek amacıyla kullanılan maddelere ne denir?|maddelere||ENTITY|MEDICINE|Antibiyotik
İnsanların otozomlarında ayrılmama sonucu oluşan ve en sık görülen mutasyon örneği nedir?|mutasyon örneği||ENTITY|PROCESS.ANIMAL|Down Sendromu  
İnsanların vücut hücrelerinde kaç adet kromozom bulunur?|adet kromozom bulunur||NUMERIC|COUNT|46
İnsanların vücut hücrelerinde kromozomlarından kaç tanesi gonozomdur?|tanesi gonozomdur||NUMERIC|COUNT|2
İnsanların vücut hücrelerinde kromozomlarından kaç tanesi otozomdur?|tanesi otozomdur||NUMERIC|COUNT|44
İnsülin hormonunun az salgılanması halinde kanda glikoz miktarının artması sonucu oluşan hastalığa ne ad verilir?|hastalığa||ENTITY|DISEASE|şeker hastalığı
İribaş döneminde suda, erişkin döneminde karada yaşayan hayvanlara ne denir?|hayvanlara||ENTITY|ANIMAL|İki yaşamlılar
Isı nedeniyle amino asitlerin yapısının bozulmasına ne denir?|yapısının bozulmasına||DESCRIPTION|DEFINITION|Denatürasyon
İskelet kasları dinlenme halindeyken kişinin bilinci açık olduğu sürece hafif kasılı durumda kalmasına ne ad verilir?|kalmasına||DESCRIPTION|DEFINITION|kas tonusu  
İskelet kaslarının kemiklere bağlanmasını sağlayan, lifli bağ dokudan oluşan yapıya ne ad verilir?|yapıya||ENTITY|MUSCLE.TYPE|kas kirişleri (tendon) 
İskeleti kıkırdak yapıda olan balıklara ne denir?|balıklara||ENTITY|ANIMAL|Kıkırdaklı balıklar
İskeleti meydana getiren kemiklerin birbiriyle bağlantı kurduğu yere ne ad verilir?|yere||ENTITY|ANIMAL.STRUCTURE|eklem
İskorbüt hastalığı, hangi vitaminin eksikliğinde görülür?|vitaminin||ENTITY|SUBSTANCE|C
İstanbul Üniversitesi Veterinerlik Fakültesi’nde uzman bir ekip tarafından yürütülen çalışmalar sonucu Türkiye’deki ilk klonlanma ne zaman gerçekleştirildi?|zaman gerçekleştirildi||TEMPORAL|DATE|2007
İsteğimiz dışında çalışan, mekik şekilli ve tek çekirdekli olan kas türüne ne ad verilir?|kas türüne||ENTITY|MUSCLE.TYPE|düz kas  
İstemli kas hareketlerinin kontrol merkezi olan beyin lobu hangisidir?|beyin lobu||ENTITY|SECTION.ANIMAL|ön lop  
İstemli olarak çalışan, bilinçli olarak yaptığımız hareketleri kontrol eden sinir sistemine ne ad verilir?|sinir sistemine||ENTITY|ANIMAL.SYSTEM|somatik sinir sistemi
İstemsiz olarak çalışan, üreme, solunum gibi bazı endokrin bezlerin çalışması gibi önemli vücut fonksiyonlarını kontrol eden sinir sistemine ne ad verilir?|sinir sistemine||ENTITY|ANIMAL.SYSTEM|otonom sinir sistemi
İstenmeyen, rahatsız edici, canlıların sağlığını tehdit eden seslere ne denir?|seslere||DESCRIPTION|DEFINITION|Gürültü
John Hogg protoctista kelimesini ilk ne zaman kullanmıştır?|zaman kullanmıştır||TEMPORAL|DATE|1860
