Geography Factoid Questions||||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer|
İdari ve ekonomik bakımdan yakınındaki daha büyük kente bağımlı kente ne ad verilir?|kente ad||ENTITY|OTHERS|Uydu kent|
İgaçu çağlayanları hangi yıl dünya mirası kabul edilmiştir?|yıl||TEMPORAL|DATE|1984|
İgaçu şelalerinin yüksekliği ne kadardır?|yüksekliği kadardır||NUMERIC|SIZE.LENGTH|80 m|
İğne yapraklı ormanların yoğun olduğu soğuk kuşağa ne ad verilir?|soğuk kuşağa ad||DESCRIPTION|DEFINITION|Boreal kuşak|
Ihlamur en fazla kaç metre yükseklikte görülür?|metre yükseklikte||NUMERIC|SIZE.HEIGHT|1000 metre|
İke kasırgası ne kadar hıza ulaşmıştır?|kadar hıza||NUMERIC|SPEED|180 km-s|
İke kasırgası ne zaman gerçekleşmiştir?|zaman gerçekleşmiştir||TEMPORAL|DATE|7 Eylül 2008|
İki akarsu havzasını birbirinden ayıran sınıra ne ad verilir?|sınıra ad||DESCRIPTION|DEFINITION|Su bölümü çizgisi|
İki paralel arasındaki uzaklık ne kadardır?|uzaklık kadardır||NUMERIC|SIZE.LENGTH|111 km|
İklimin değişmesi en çok hangi ekonomik olayı etkiler?|ekonomik olayı||ENTITY|OTHERS|Tarım|
İleri saat uygulamasına gidilmeye hangi tarihten itibaren başlanmıştır?|tarihten itibaren||TEMPORAL|DATE|1978|
İlk coğrafi keşifler kaçıncı yüzyılda başlamıştır?|yüzyılda||TEMPORAL|CENTURY|14. Yüzyıl/XIV|
İlk evcilleştirilen hayvan hangisidir?|hayvan||ENTITY|OTHERS|Köpek|
İlk fotoğraf makinası ne zaman yapıldı?|zaman yapıldı||TEMPORAL|DATE|1837|
İlk insanlar nereleri mesken olarak seçmişlerdir?|seçmişlerdir||LOCATION|LOCATION|Mağaralar|
İlk kara yolu ne zaman yapılmıştır?|zaman yapılmıştır||TEMPORAL|DATE|Milattan Önce 7. Yüzyıl/M.Ö. VII. yy|
İlk para kullanımı hangi uygarlık döneminde olmuştur?|uygarlık döneminde||ENTITY|OTHERS|Lidyalılar|
İlk şehir yerleşmeleri hangi çağda görülür?|çağda||TEMPORAL|ERA|Maden çağı/Kalkolitik çağ|
İlk şeker fabrikalarımız hangileridir?|şeker fabrikalarımız|ilk|ENTITY|OTHERS|Uşak Alpullu|
İlk yerleşim yerlerinin akarsu boylarına kurulmasının temel sebebi nedir?|sebebi|temel|DESCRIPTION|REASON|Tarım|
İlkbaharda yeşerip yaz boyu yeşil kalan ve bozkırdan daha gür olan bitki örtüsüne ne denir?|bitki örtüsüne denir||DESCRIPTION|DEFINITION|Alpin çayır|
ILO'nun Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Uluslararası çalışma örgütü|
IMF ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1944|
IMF'de en fazla oy hakkı olan ülke hangisidir?|ülke||LOCATION|COUNTRY|Amerika birleşik devletleri|
IMF'nin kaç tane kurucu üyesi vardır?|tane kurucu üyesi||NUMERIC|COUNT|44|
IMF'nin Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Uluslararası para fonu|
İmparatorluklar ilk olarak hangi çağda kurulmuştur?|çağda||TEMPORAL|ERA|Maden Çağı/Kalkolitik Çağ|
İngiliz ve Fransızlar Amerikanın hangi bölgelerinde koloniler kurmuşlardır?|bölgelerinde||LOCATION|REGION|Kuzey Amerika|
İngiltere Avrupa'nın neresinde yer alır?|yer alır||ENTITY|OTHERS|Kuzeybatısında|
İngiltere'de demir yolu ağı ne kadardır?|demir yolu ağı kadardır||NUMERIC|SIZE.LENGTH|Yaklaşık 18 bin km/18000 km/18.000 km|
İngiltere'de kilometrekareye ortalama kaç insan düşer?|insan|ortalama|NUMERIC|AVERAGE|235|
İngiltere'de yıllık nüfus artışı kaçtır?|nüfus artışı|yıllık|NUMERIC|PERCENTAGE|Binde iki/0.2%/%0.2|
İngiltere'nin yıllık turizm geliri kaç dolardır?|dolardır||NUMERIC|MONEY|30 Milyar dolar/30.000.000.000 $/30000000000 $|
İnsan ve insana ait faaliyetleri inceleyen coğrafyanın alt dalının adı nedir?|dalının adı|alt|DESCRIPTION|DEFINITION|Beşeri coğrafya|
İnsani gelişim endeksini hangi topluluk hazırlar?|topluluk||HUMAN|GROUP|Birleşmiş Milletler|
İnsanın kendi amaçları doğrultusunda değiştirmiş olduğu çevreye ne denir?|çevreye denir||DESCRIPTION|DEFINITION|Yapay çevre|
İnsanın yaşamı üzerinde etkili olan faktörlerin toplamına ne denir?|faktörlerin toplamına denir||DESCRIPTION|DEFINITION|Çevre|
İnsanlar besin ve iş gücü kaynağı olarak yeryüzünün hangi katmanından faydalanırlar?|katmanından||ENTITY|SPHERE|Biyosfer|
İnsanlar havayolu ulaşımından yeryüzünün hangi katmanında faydalanırlar?|katmanında||ENTITY|SPHERE|Atmosfer|
İnsanlar sudan çeşitli şekillerde yeryüzünün hangi katmanında faydalanırlar?|katmanında||ENTITY|SPHERE|Hidrosfer|
İnsanlar tarafından kaynaklanan etkiler sonucunda istenmeyen zararlı maddelerin, suyun niteliğini bozacak kadar yükselmesi olayına ne denir?|yükselmesi olayına denir||DESCRIPTION|DEFINITION|Su kirliliği|
İnsanlar toprağı işlemeyi, taşları çeşitli amaçlarla kullanmayı ve yer altı kaynaklarını işletmeyi yeryüzünün hangi katmanında yaparlar?|katmanında||ENTITY|SPHERE|Litosfer|
İnsanlara ait ulaşım, sanayi, turizm, nüfuslanma ve yerleşme gibi faaliyetleri coğrafyanın hangi alt dalı konu edinir?|dalı|alt|ENTITY|OTHERS|Beşeri coğrafya|
İnsanların barınma ihtiyacı için ürettikleri barınaklar neye göre farklılık gösterir?|göre||DESCRIPTION|REASON|yapı malzemeleri|
İnsanların barınma, korunma ve çalışma gibi ihtiyaçlarını karşıladığı tüm yapılara ne denir?|yapılara denir|tüm|DESCRIPTION|DEFINITION|Mesken|
İnsanların geçimini tarım ve hayvancılıktan sağladığı köylere ve köy altı yerleşmelerine ne denir?|köylere ve köy altı yerleşmelerine denir||DESCRIPTION|DEFINITION|Kırsal yerleşim|
İnsanların yaşadığı doğal ortamlara genel olarak verilen isim nedir?|isim||DESCRIPTION|DEFINITION|Çevre|
İnsanların yaşamlarını sürdürdükleri ve çeşitli ekonomik faaliyetlerde bulundukları bölgeye ne denir?|bölgeye denir||DESCRIPTION|DEFINITION|Yerleşme|
İnsanların yılın belirli vakitleri özellikle gidip gezdiği şehirlere ne ad verilir?|şehirlere ad||DESCRIPTION|DEFINITION|Turizm kentleri|
İnsanların yılın belli bir döneminde gezme, görme ve dinlenme amaçlarına yönelik olarak yaptıkları yer değişikliğine ne ad verilir?|yer değişikliğine ad||DESCRIPTION|DEFINITION|Turizm|
İnsanlık tarihi boyunca Dünya nüfusunda kaç kez büyük artış dönemi yaşanmıştır?|kez||NUMERIC|COUNT|3|
İpek böceği daha çok hangi ağacın yaprakları ile beslenir?|ağacın||ENTITY|PLANT|Dut ağacı|
İpek böceği yetiştirme ve ondan koza elde etme işine ne ad verilir?|işine ad||DESCRIPTION|DEFINITION|İpek böcekçiliği|
İpek böcekçiliği en çok hangi bölgemizde yapılmaktadır?|bölgemizde||LOCATION|REGION.LOCAL|Marmara|
İpek yolunun başlangıcı hangi ülkedir?|ülkedir||LOCATION|COUNTRY|Çin|
İplik makinesi kaç yılında icat edilmiştir?|yılında||TEMPORAL|DATE|1764|
İplik makinesini kim icat etmiştir?|icat etmiştir||HUMAN|INDIVIDUAL|James Hargreaves|
İskandinav yarımadası hangi iklim kuşağında yer alır?|iklim kuşağında||ENTITY|OTHERS|Soğuk iklim kuşağı|
İspanyollar Amerikanın hangi bölgesinde koloniler kurmuşlardır?|bölgesinde||LOCATION|REGION|Güney Amerika|
İstanbul Boğazı hangi jeolojik dönemde oluşmuştur?|jeolojik dönemde||TEMPORAL|ERA|IV. Zaman/Antropozoik/Kuvaterner|
İstanbul'da güneydoğudan esen rüzgâra ne ad verilir?|rüzgâra ad||ENTITY|WIND|Keşişleme|
İstanbul'un nüfusu yaklaşık kaçtır?|nüfusu|yaklaşık|NUMERIC|SIZE.POPULATION|13700000|
İtalya'da hakim olan din hangisidir?|din||HUMAN|RELIGION|Hristiyanlık|
İtalya'da sanayi hangi tarihten sonra hızlı bir ilerleme sürecine girmiştir?|tarihten sonra||TEMPORAL|DATE|1950|
İtalya'nın en büyük adaları hangileridir?|adaları|en büyük|ENTITY|OTHERS|Sicilya ve Sardinya|
İtalya'nın uzaydan görünüşü neyi andırır?|andırır||DESCRIPTION|DESCRIPTION|Çizme|
İtalya'ya bir yılda yaklaşık ne kadar turist gelmektedir?|kadar turist||NUMERIC|SIZE.POPULATION|40 milyon/40000000/40.000.000|
IV. Jeolojik zamanın başlarında Dünya genelinde buzul alanları kaçıncı enleme kadar gelmiştir?|enleme||NUMERIC|LATITUDE|500|
İzmir İktisat kongresi kimin teşviki ile olmuştur?|teşviki ile||HUMAN|INDIVIDUAL|Mustafa Kemal Atatürk|
İzmir'in nüfusu yaklaşık kaçtır?|nüfusu|yaklaşık|NUMERIC|SIZE.POPULATION|3400000|
Japon erkelerinin ortalama ömrü ne kadardır?|ömrü kadardır|ortalama|NUMERIC|COUNT|77 yıl/77 sene|
Japonya arazisinin yüzde kaçı dağlardan oluşur?|Japonya arazisinin yüzde||NUMERIC|PERCENTAGE|%70/70%|
Japonya demir çelik üretiminde dünyada kaçıncı sıradadır?|sıradadır||NUMERIC|COUNT|2|
Japonya hangi iklimin etkisi altındadır?|iklimin||ENTITY|OTHERS|Muson|
Japonya'da kişi başına düşen milli gelir ne kadardır?|milli gelir kadardır||NUMERIC|MONEY|23.100 $/23100 $|
Japonya'da yıllık ortalama deprem sayısı kaçtır?|deprem sayısı|yıllık ortalama|NUMERIC|AVERAGE|1500|
Japonya'nın başkenti neresidir?|başkenti||LOCATION|CAPITAL|Tokyo|
Japonya'nın dili nedir?|dili||HUMAN|LANGUAGE|Japonca|
Japonya'nın en yüksek dağları hangi adadadır?|adadadır||ENTITY|OTHERS|Honşu adasında|
Japonya'nın nüfusu ne kadardır?|nüfusu kadardır||NUMERIC|SIZE.POPULATION|127463611/127.463.611|
Japonya'nın yüz ölçümü ne kadardır?|yüz ölçümü kadardır||NUMERIC|SIZE.AREA|377.815 km2|
Jeolojik bir dönemle ya da yöreyle ilgili insanlar dışındaki hayvanların tümünün yaşamına ne ad verilir?|yaşamına ad||DESCRIPTION|DEFINITION|Fauna|
Kaç adet paralel vardır?|adet paralel||NUMERIC|COUNT|180|
Kaç çeşit deprem dalgası vardır?|çeşit||NUMERIC|COUNT||
Kaç çeşit deprem dalgası vardır?|çeşit||NUMERIC|COUNT|3|
Kar örtüsünün hızlı bir şekilde eğim yönünde hareket etmesine ne denir?|hareket etmesine denir||DESCRIPTION|DEFINITION|Çığ|
Kar ve buz sularıyla beslenen akarsuların akışında azalma hangi mevsimde olur?|mevsimde||TEMPORAL|SEASON|Kış|
Kar yağışlarının fazla, arazinin engebeli olduğu bölgelerde hangi doğal afet daha fazla görülür?|doğal afet||ENTITY|OTHERS|Çığ|
Kara ve denizlerde düşey doğrultudaki alçalma yükselme hareketlerine ne denir?|alçalma yükselme hareketlerine denir||DESCRIPTION|DEFINITION|Epirojenez|
Kara Yolları Genel Müdürlüğü ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1950|
Karaçam ortalama hangi yüksekliklerde görülür?|yüksekliklerde|ortalama|NUMERIC|SIZE.HEIGHT|1000-2000 metre|
Karadeniz kıyılarında ormanların tahrip edildiği bölgelerde rastlanan çalılara ne ad verilir?|çalılara ad||DESCRIPTION|DEFINITION|Psödomaki|
Karadeniz kıyılarının yüzde kaçı heyelan riski taşır?|Karadeniz kıyılarının yüzde||NUMERIC|PERCENTAGE|0.89/%89/89%|
Karadeniz’in Akdeniz’e açılmasını sağlayan boğazlar hangileridir?|boğazlar||ENTITY|OTHERS|İstanbul Boğazı Çanakkale Boğazı|
Karain mağarası hangi ilin sınırları içerisindedir?|ilin||LOCATION|CITY|Antalya|
Karalarda güneş ışınlarının etkili olduğu derinlik ne kadardır?|derinlik kadardır||NUMERIC|SIZE.DEPTH||
Karaların denizlere doğru olan dar uzantısına ne ad verilir?|uzantısına ad|dar|ENTITY|ENTITY|Burun|
Karasal iklimde yıllık yağış miktarı kaç mm'dir?|mm'dir||NUMERIC|SIZE.VOLUME|500 - 600 mm|
Karınca yuvalarının açık önü hangi yönü gösterir?|hangi yönü||ENTITY|OTHERS|Kuzey|
Kars hangi yıl il yapılmıştır?|yıl||TEMPORAL|DATE|1924|
Karstik mağaralarda oluşan sarkıt ve dikitler hangi kayaç türlerindendir?|kayaç türlerindendir||ENTITY|ENTITY|Kimyasal tortul kayaç|
Kasırgaların saattaki ortalama hızları kaçtır?|hızları|ortalama|NUMERIC|SPEED|120 km|
Katı haldeki yer kabuğunun sıvı haldeki manto üzerinde batmadan kalabilmesine ne denir?|batmadan kalabilmesine denir||DESCRIPTION|DEFINITION|İzostatik denge|
Katı, sıvı ya da gaz halindeki maddelerin yeryüzüne çıktığı yere ne denir?|yere denir||DESCRIPTION|DEFINITION|Yanardağ|
Kavimler göç hangi çağın kapanmasına sebep olmuştur?|çağın||TEMPORAL|ERA|İlk çağ|
Kavimler göçü hangi yıllar arasında olmuştur?|yıllar arasında||TEMPORAL|PERIOD|350/800|
Kavimler göçü kaçıncı yüzyıllarda gerçekleşmiştir?|yüzyıllarda gerçekleşmiştir||TEMPORAL|CENTURY|4.yy 5.yy/IV. V. yy|
Kayaçların ayrışması kaç şekilde gerçekleşir?|şekilde||NUMERIC|COUNT|2|
Kayaların başkalaşıma uğramasına ne sebep olur?|sebep olur||DESCRIPTION|REASON||
Kazakistan'ın kuruluş yılı nedir?|kuruluş yılı||TEMPORAL|DATE|1991|
KEİ ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|25 haziran 1992|
KEİ'nin açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Karadeniz ekonomik işbirliği teşkilatı|
Keops Piramidi kaç adet taş bloktan yapılmıştır?|adet taş bloktan||NUMERIC|COUNT|3 Milyon/3000000/3.000.000|
Kestane renkli bozkır topraklarının olduğu bir yörede yıllık yağış miktarı ne kadardır?|yağış miktarı kadardır|yıllık|NUMERIC|SIZE.HEIGHT|400mm 600mm|
KGM neyin kısaltmasıdır?|kısaltmasıdır||ABBREVIATION|EXPRESSION|Kara Yolları Genel Müdürlüğü|
Kiel Kanalı hangi tarihte deniz trafiğine açılmıştır?|tarihte||TEMPORAL|DATE|1895|
Kiel kanalının uzunluğu ne kadardır?|uzunluğu kadardır||NUMERIC|SIZE.LENGTH|99 km|
Kılıçkaya barajı hangi ırmağın üzerinde yer almaktadır?|ırmağın üzerinde||ENTITY|RIVER|Yeşilırmak|
Kır yerleşmelerinin en büyüğüne ne denir?|kır yerleşmelerinin denir||DESCRIPTION|DEFINITION|Köy|
Kırsal yerleşmeler kaça ayrılır?|kırsal yerleşmeler ayrılır||NUMERIC|COUNT|2|
Kıta bölünmeleri hangi jeolojik zamanda başlamıştır?|jeolojik zamanda||TEMPORAL|ERA|II. zaman/Mezezoik|
Kıta sahanlığı ile derin deniz platformunu birbirine bağlayan bölüme ne denir?|bölüme denir||DESCRIPTION|DEFINITION|Kıta yamacı|
Kıtalar arası ilk telefon görüşmesi ne zaman yapıldı?|zaman yapıldı||TEMPORAL|DATE|1915|
Kıyıdan 200 metre derinliğe kadar olan saha neyle ifade edilir?|saha ifade edilir||DESCRIPTION|DEFINITION|Kıta sahanlığı|
Kızılağaç en fazla kaç metre yükseklikte görülür?|metre yükseklikte||NUMERIC|SIZE.HEIGHT|1000 metre|
Kızılçamın dünyada en geniş yayılış alanı nerededir?|yayılış alanı|en geniş|LOCATION|LOCATION|Türkiye|
Kızılırmak nehrinin uzunluğu kaç metredir?|metredir||NUMERIC|SIZE.LENGTH|1350 m|
Kömür yatakları hangi jeolojik zamanda oluşmuştur?|jeolojik zamanda||TEMPORAL|ERA|Paleozoik|
Konya kapalı havzasının akılcı kullanımına doğru projesi hangi yıl başlamıştır?|yıl||TEMPORAL|DATE|2003|
Konya'nın nüfusu yaklaşık kaçtır?|nüfusu|yaklaşık|NUMERIC|SIZE.POPULATION|2000000|
Konya'nın yüzölçümü yaklaşık ne kadardır?|yüzölçümü kadardır|yaklaşık|NUMERIC|SIZE.AREA|41000 km2|
Köpek hangi çağda evcilleştirilmiştir?|çağda||TEMPORAL|ERA|Mezolitik Çağ/orta taş çağı|
Köy yerleşmelerinin toplu olmasındaki en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Doğal faktörler|
Köylerdeki nüfus miktarı genelde kaçtır?|nüfus miktarı||NUMERIC|SIZE.POPULATION|2000den az|
Koyun ve keçi gibi hayvanların genel adı nedir?|adı|genel|ENTITY|OTHERS|Küçükbaş hayvan|
Kraterlerin patlama ya da çökmelerle genişlemiş şekillerine ne denir?|şekillerine denir||DESCRIPTION|DEFINITION|Kaldera|
Kristof Kolomb Amerika'ya ilk kez ne zaman ulaşmıştır?|zaman ulaşmıştır||TEMPORAL|DATE|1492|
Kümülüs bulutları kaç metre aralığında bulunur?|metre||NUMERIC|RANGE|2000 - 16000 m|
Kura nehri sularını nereye döker?|döker||LOCATION|LOCATION|Hazar denizi|
Kurak bölgelerde ilkbahar yağışıyla yeşeren ve yazın sararan ot topluluklarına ne denir?|ot topluluklarına denir||DESCRIPTION|DEFINITION|Bozkır|
Küresel ısınmanın en önemli sonucu nedir?|sonucu|en önemli|DESCRIPTION|EFFECT|İklim değişikliği|
Kütahya’nın hangi ilçesinde feldispat yatakları mevcuttur?|ilçesinde||LOCATION|CITY|Simav|
Kutup altı iklim bölgesinde, kısa ve serin geçen yaz döneminde yeşeren otsu bitki örtüsüne ne ad verilir?|bitki örtüsüne ad|otsu|DESCRIPTION|DEFINITION|Tundra|
Kutup bölgelerinde yerleşmeyi sınırlandıran en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Buzul dağları|
Kutuplara eşit uzaklıktaki noktaların birleştirilmesiyle elde edilen hayali çembere ne ad verilir?|hayali çembere ad||ENTITY|ENTITY|Ekvator|
Kutuplara yakın bölgelerde nüfus yoğunluğunun az olmasının en önemli sebebi nedir?|sebebi|en önemli|DESCRIPTION|REASON|İklim|
Kutuplara yakın yerde kar ve buz kullanılarak yapılan meskenlere ne ad verilir?|meskenlere ad||DESCRIPTION|DEFINITION|İglo|
Kuzey Amerika'nın doğu kıyılarının batı kıyılarına göre daha soğuk olmasına sebep olan nedir?|sebep olan||DESCRIPTION|REASON|çöl iklimi|
Kuzey anadolu dağlarının denize bakan yamaçlarında görülen toprak çeşidinin adı nedir?|toprak çeşidinin adı||ENTITY|OTHERS|Kahverengi orman toprakları|
Lav nedir?|lav||DESCRIPTION|DEFINITION||
Lavların ve tüflerin yeryüzüne çıkmak için izledikleri yola ne ad verilir?|yola ad||DESCRIPTION|DEFINITION|Volkan bacası|
Lavların yeryüzüne çıkmak için izledikleri yola ne denir?|yola denir||DESCRIPTION|DEFINITION|Volkan bacası|
Lejant ne demektir?|demektir||DESCRIPTION|DEFINITION|Harita anahtarı|
Levha hareketleri sonucunda ortaya çıkan gerilimler neyin kırılmasına neden olur?|kırılmasına||ENTITY|ENTITY|Sert tabakaların|
Levha tektoniği teorisi kimin teorisinin geliştirilmiş halidir?|teorisinin||HUMAN|INDIVIDUAL|Alfred Wegener|
LIFE'nin Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Çevre projelerini destekleme programı|
Lüle taşı hangi il çevresinde çıkarılır?|il çevresinde||LOCATION|CITY|Eskişehir|
M.Ö. 4000 yılında tahmini insan nüfusu ne kadardır?|insan nüfusu kadardır|tahmini|NUMERIC|SIZE.POPULATION|30.000.000/30 Milyon|
Maden cevheri içindeki metal oranına ne isim verilir?|metal oranına isim||ENTITY|OTHERS|Tenör|
Maki bitki örtüsünün ortalama boyu ne kadardır?|boyu kadardır|ortalama|NUMERIC|SIZE.HEIGHT|1-3 metre|
Maki hangi iklime uygun bir bitki örtüsüdür?|iklime||ENTITY|OTHERS|Akdeniz|
Maki ve çalılıkların yaygın olduğu bölgelerde yapılan hayvancılıkta hangi hayvan daha yaygındır?|hayvan||ENTITY|OTHERS|Kıl keçisi|
Mal ve hizmetlerin kullanılması ne ile ifade edilir?|ile ifade edilir||DESCRIPTION|DEFINITION|Tüketim|
Mal ve hizmetlerin sağlanmasına ne denir?|Mal ve hizmetlerin sağlanmasına denir||DESCRIPTION|DEFINITION|Üretim|
Mal ve hizmetlerin tüketiciye ulaştırılmasına ne ad verilir?|ulaştırılmasına ad||DESCRIPTION|DEFINITION|Dağıtım|
Manş tüneli denizin kaç metre altında inşa edilmiştir?|metre||NUMERIC|SIZE.DEPTH|91 metre|
Manş tüneli hangi tarihte hizmete açılmıştır?|tarihte||TEMPORAL|DATE|1994|
Manş tüneli hangi ülkeler arasındadır?|ülkeler||LOCATION|COUNTRY|Fransa İngiltere|
Manto, Yer Yuvarlağı hacminin yüzde kaçını kaplamaktadır?|hacminin yüzde||NUMERIC|PERCENTAGE||
Mantonun içerisindeki konveksiyon akıntıları hangi yönde hareket eder?|yönde||ENTITY|OTHERS||
Mariana deniz çukuru kaç kilometre derinliktedir?|kilometre||NUMERIC|SIZE.DEPTH|11|
Marmara depremi hangi tarihte meydana gelmiştir?|tarihte||TEMPORAL|DATE|17 Ağustos 1999|
Marmara depremi kaç şiddetinde olmuştur?|şiddetinde||NUMERIC|COUNT|7.4|
Matbaa ne zaman icat edildi?|zaman icat edildi||TEMPORAL|DATE|1450|
Mavi Akım Projesi hangi tarihte tamamlanmıştır?|tarihte||TEMPORAL|DATE|2002|
Mendereslerde aşınma kısmına ne ad verilir?|aşınma kısmına ad||DESCRIPTION|DEFINITION|Çaprak|
Mendereslerde biriktirme kısmına ne ad verilir?|biriktirme kısmına ad||DESCRIPTION|DEFINITION|Yığınak|
Mercanların yığılmasıyla ortaya çıkan kaya zincirlerine ne ad verilir?|kaya zincirlerine ad||ENTITY|OTHERS|Resif|
Meskenlerin yapımında kullanılan malzemeler üzerinde en çok ne etkilidir?|etkilidir|en çok|DESCRIPTION|EFFECT|Doğal çevre|
Mezralar daha çok hangi bölgemizde görülür?|bölgemizde||LOCATION|REGION.LOCAL|Doğu Anadolu Bölgesi|
Miladi takvimin başlangıcı olan 0 yılında tahmini dünya nüfusu ne kadardır?|dünya nüfusu kadardır|tahmini|NUMERIC|SIZE.POPULATION|310.000.000/310 milyon|
Milet Amfi Tiyatrosu hangi ilçededir?|ilçededir||LOCATION|CITY|Söke|
Milet Amfi Tiyatrosu hangi ildedir?|ildedir||LOCATION|CITY|Aydın|
Milli parklar kanunu kaç yılında çıkarılmıştır?|yılında||TEMPORAL|DATE|1983|
MTA ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1935|
MTA nedir?|MTA||ABBREVIATION|EXPRESSION|Maden Tetkik ve Arama|
Muson ikliminde yıllık sıcaklık farkı ne kadardır?|sıcaklık farkı kadardır|yıllık|NUMERIC|DEGREE|10 C|
NAFTA'nın Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Kuzey amerika  serbest ticaret birliği|
NATO kaç yılında kurulmuştur?|yılında||TEMPORAL|DATE|1949|
NATO'nun en büyük sivil organı nedir?|sivil organı|en büyük|DESCRIPTION|DEFINITION|Kuzey atlantik konseyi|
NATO'nun en yüksek askeri organı nedir?|askeri organı|en yüksek|DESCRIPTION|DEFINITION|Askeri komite|
NATO'nun kurucu üye sayısı kaçtır?|kurucu üye sayısı||NUMERIC|COUNT|12|
NATO'nun Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Kuzey atlantik antlaşması örgütü|
Neden ve sonuç bakımından karmaşık coğrafya olaylarını incelerken hangi coğrafya ilkesine başvurulur?|coğrafya ilkesine||ENTITY|OTHERS|nedensellik ilkesi|
Nil Deltası hangi ülkenin sınırları içerisindedir?|ülkenin||LOCATION|COUNTRY|Mısır|
Nil nehri üzerine kurulmuş en büyük barajın adı nedir?|barajın adı|en büyük|ENTITY|OTHERS|Aswan|
Normal fay, ters fay dışındaki fay çeşidi hangisidir?|fay çeşidi||DESCRIPTION|DEFINITION|Doğrultu atımlı fay|
Norveç, İsveç gibi ülkelerde en önemli geçim kaynağı nedir?|geçim kaynağı|en önemli|DESCRIPTION|DEFINITION|Balıkçılık|
Nüfus artış hızı en fazla olan kıta hangisidir?|kıta||LOCATION|CONTINENT|Afrika|
Nüfus hangi üç yaş grubunda incelenir?|üç yaş grubunda||HUMAN|GROUP|Genç olgun yaşlı|
Nüfusu 10000'in altında olan yerleşkelere ne ad verilir?|yerleşkelere ad||DESCRIPTION|DEFINITION|Kırsal Yerleşke|
Nüfusun yaş yapısını belirleyen en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Doğum oranı|
OECD ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1948|
OECD'nin açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Ekonomik Kalkınma ve İşbirliği Örgütü|
OECD'nin Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Ekonomik kalkınma ve iş birliği örgütü|
Okyanus, deniz, göl, akarsu, kaynak suları ve yer altı sularının bütününe ne ad verilir?|bütününe ad||ENTITY|OTHERS|su kaynakları|
Ölçeği 1/20000 ile 1/200000 arasında olan haritalar hangileridir?|haritalar||DESCRIPTION|DEFINITION|Topoğrafya Haritaları|
Olgun nüfus olarak kabul edilen yaş grubu nedir?|yaş grubu||NUMERIC|RANGE|15-64|
Oltu taşı hangi ilimizde çıkarılmaktadır?|ilimizde||LOCATION|CITY|Erzurum|
Oluşumunda insanın etkisi olmayan çevreye ne denir?|çevreye denir||DESCRIPTION|DEFINITION|Doğal çevre|
Oluşumunda tektonik hareketler, volkanik olaylar ve doğal etkenlerin eş zamanlı rol oynadığı göllere ne denir?|göllere denir||DESCRIPTION|DEFINITION|Karma oluşumlu göller|
OPEC ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1960|
OPEC'in Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Petrol ihraç eden ülkeler örgütü|
Orman örtüsünün bulunmadığı yüksek yaylalarda ve dağlarda yaygın olan mesken çeşidi nedir?|mesken çeşidi||DESCRIPTION|DEFINITION|Taş mesken|
Ormanlar günümüzde yeryüzünün yüzde kaçını kaplamaktadır?|yeryüzünün yüzde||NUMERIC|PERCENTAGE|25%|
Ormanların tahrip edilmesi sonucu oluşan bozkırlara ne denir?|bozkırlara denir||DESCRIPTION|DEFINITION|Antropojen Bozkır|
Orta kuşağın nemli ormanlarında yıllık yağış miktarı ne kadardır?|yağış miktarı kadardır|yıllık|NUMERIC|SIZE.VOLUME|1000 mm|
Orta kuşaktaki pek çok insanın en temel besin maddesi nedir?|besin maddesi|en temel|DESCRIPTION|DESCRIPTION|Buğday|
Osmaniye hangi yıl il olarak kabul edildi?|yıl||TEMPORAL|DATE|1996|
Osmanlı devleti bünyesinde yaşayan Rumların temel geçim kaynağı neydi?|geçim kaynağı|temel|DESCRIPTION|DESCRIPTION|Ticaret|
Osmanlı devletinde ilk nüfus sayımı hangi padişah zamanında yapılmıştır?|padişah zamanında||HUMAN|INDIVIDUAL|2.Mahmut/II. Mahmut/Mahmut II|
Osmanlı devletinde ilk nüfus sayımı ne zaman yapılmıştır?|zaman yapılmıştır||TEMPORAL|DATE|1831|
