Bitkilerde aynı görevi yapmak üzere özelleşmiş hücre topluluklarına ne ad verilmektedir|||||doku 
Kemiğin enine büyümesini sağlayan yapıya ne ad verilir|||||periost
Kemiğin boyca uzamasını sağlayan yapıya ne ad verilir|||||epifiz plağı  
Vücut bütünlüğünü koruyan, iç ve dış ortamlarda meydana gelen değişikliklere karşı iç dengenin korunmasını sağlayan duruma ne ad verilir|||||homeostasi
Yassı solucanlarda görülen sinir sitemi, hangi sinir sistemine örnektir|||||ip merdiven  
Sölenterler grubunda olan hidrada görülen sinir sistemi, hangi sinir sistemine örnektir|||||ağsı sinir sistemi  
Halkalı solucanlarda baş bölgesinde beyin görevi yapan sinir hücresi topluluğuna ne ad verilir|||||gangliyon
Sinir hücresine ne ad verilir|||||nöron
Sinir hücresinde bulunan, çok sayıda, kısa ve dallanmış uzantılara ne ad verilir|||||dendrit
Sinir hücresinde bulunan, dendritlerden daha uzun olan uzantılara ne ad verilir|||||akson
Diğer hücrelerden gelen uyartıları alan ve elektrik sinyalleri halinde hücre gövdesine doğru iletmekte görevli uzantıya ne ad verilir|||||dendrit
Aksonun elektriksel izolasyonunu sağlayarak, uyartı iletimini hızlandıran yapıya ne ad verilir|||||miyelinli kılıf  
Dil, kulak, deri ve kaslar gibi vücudun çeşitli kısımlarında bulunan reseptörlerden aldıkları uyartıları merkezi sinir sistemine taşıyan nöronlara ne ad verilir|||||duyu nöronları  
Duyu nöronları ile motor nöronlar arasındaki bağlantıyı sağlayan yapıya ne ad verilir|||||ara nöron  
Merkezi sinir sisteminden aldığı uyartıyı kas ya da endokrin bez gibi efektör organlara taşıyan nörona ne ad verilir|||||motor nöron  
Nöronlardan daha fazla sayıda olan yardımcı hücrelere ne ad verilir|||||nöroglia (glia)  
Miyelin tabakanın çeşitli nedenlerle tahrip olması sonucu oluşan hastalığa ne ad verilir|||||multiple skleroz MS 
Bir nöronun diğer bir nöronla ya da kas ve salgı bezleri gibi tepki organlarının hücreleriyle iletişim kurduğu yere ne ad verilir|||||sinaps
Aksonların sinaps boşluğunda sonlanan ucuna ne ad verilir|||||sinaptik yumru  
Sinapslarda kimyasal iletiyi sağlayan maddelere ne ad verilir|||||nörotransmitter
Nörotransmitter madde salgısını geçici olarak durduran madde nedir|||||morfin
Kafatası kemiklerinin altında bulunan üç katlı zarla çevirili olan yapıya ne ad verilir|||||meninges
Kafatası kemiklerinin hemen altında bulunan yapı nedir|||||sert zar   
Kafatası kemiklerinin hemen altında bulunan sert zarın altındaki yapı nedir|||||örümceksi zar  
Beyin ve omuriliği vurma, çarpma gibi darbelere karşı koruyan ince zar ile örümceksi zarın arasında bulunan sıvıya ne ad verilir|||||beyin omurilik sıvısı (BOS)  
İnsan beyninin en büyük kısmına ne ad verilir|||||ön beyin  
Beyin yarım kürelerden oluşan beynin kısmı hangisidir|||||uç beyin  
Talamus ve hipotalamustan oluşan beynin kısmı hangisidir|||||ara beyin  
Sinir hücrelerinin gövdelerinden oluşan boz maddeye ne ad verilir|||||beyin kabuğu  
Miyelinli sinirlerin aksonlarından oluşan, boz maddenin altında bulunan maddeye ne ad verilir|||||ak madde  
İstemli kas hareketlerinin kontrol merkezi olan beyin lobu hangisidir|||||ön lop  
Yazma ve konuşma merkezi olan beyin lobu hangisidir|||||ön lop  
Dokunma, acı, basınç ve derideki sıcaklığı algılayan beyin lobu hangisidir|||||parietal lop  
Konuşulan ve yazılan kelimelerin anlaşılmasını sağlayan beyin lobu hangisidir|||||parietal lop  
Duyma, koklama ve hafıza merkezi olan bayin lobu hangisidir|||||temporal lop  
Görme merkezi olan beyin lobu hangisidir|||||oksipital
Karbonhidrat ve yağ metabolizmasını, vücut sıcaklığını, kan basıncını, su dengesini, uyku ve iştahı düzenleyen ara beyinde bulunan yapıya ne denir|||||hipotalamus
Hipotalamusun alt kısmında bulunan, iç salgı bezlerinin çalışmasını düzenleyen yapıya ne denir|||||hipofiz bezi 
Hareket ve denge merkezi olan beyin bölgesi neresidir|||||beyincik
Doğuştan var olan reflekslere ne ad verilir|||||kalıtsal refleks
Öğrenme ile sonradan kazanılmış raflekslere ne ad verilir|||||kazanılmış refleks
İstemli olarak çalışan, bilinçli olarak yaptığımız hareketleri kontrol eden sinir sistemine ne ad verilir|||||somatik sinir sistemi
İstemsiz olarak çalışan, üreme, solunum gibi bazı endokrin bezlerin çalışması gibi önemli vücut fonksiyonlarını kontrol eden sinir sistemine ne ad verilir|||||otonom sinir sistemi
Gözün en iç kısmında bulunan, mercekten kırılan ışınların geldiği göz tabakasına ne ad verilir |||||retina
Retinada sadece koni hücrelerinin bulunduğu yere ne ad verilir|||||sarı benek
Görme sinirlerinin retinadan çıktığı noktaya ne ad verilir|||||kör nokta
Renklerin algılanmaması durumunda ortaya çıkan hastalık nedir|||||renk körlüğü
A vitamini eksikliğinde oluşan görme bozukluğuna ne ad verilir|||||gece körlüğü
Uzağı göremeyen kişilerin sahip olduğu görme bozukluğuna ne ad verilir|||||miyop
Yakını iyi göremeyen kişilerin sahip olduğu görme bozukluğuna ne ad verilir|||||hipermetrop
Ürettiği salgıyı doğrudan kana veren bezlere ne ad verilir|||||endokrin bez
Nohut büyüklüğünde, beyin tabanında, ince bir sapla hipotalamusa bağlı olan beze ne ad verilir|||||hipofiz bezi 
Heyecan, korku, sinirlenme gibi durumlarda kanda miktarı artan hormon hangisidir|||||adrenalin
Endokrin bezlerinin karşılıklı etkileşimi ile kanda hormon dengesinin sağlanmasına ne ad verilir|||||geri bildirim
Embriyonun tutunması için döl yatağının hazırlanmasını sağlayan hormon hangisidir|||||progesteron
İnsülin hormonunun az salgılanması halinde kanda glikoz miktarının artması sonucu oluşan hastalığa ne ad verilir|||||şeker hastalığı
Enzimlerin protein kısmına ne denir?|||||Apoenzim
Hücrenin asit-baz dengesini sağlayabilmek için sitoplazmada iyon halinde bulunan madde nedir?|||||NaCl-Sodyum Klorür
Kuyruk yağı ne tür bir yağdır?|||||Doymuş yağ
Urasil DNA’nın yapısında bulunur mu?|||||Evet
RNA hücre protein sentezinde görev alır mı?|||||Evet
Disakkarit oluşurken, monosakkaritler arasında hangi bağ kurulur?|||||Glikozit
Trigliseritler hormon yapısına katılır mı?|||||Evet
Steroitler hormon yapısına katılır mı?|||||Hayır
ATP molekülünden bir fosfat koparıldığında 7300 kalorilik enerji açığa çıkıyorsa, iki fosfat koparıldığında ne kadar enerji açığa çıkar?|||||10950
Hücrelerde kimyasal reaksiyonları başlatmak için gerekli olan enerjiye ne ad verilir?|||||Aktivasyon
Tükürüğün pH’ı nasıldır?|||||Nötr
İskorbüt hastalığı, hangi vitaminin eksikliğinde görülür?|||||C
Polisakkaritler oluşurken, glikoz molekülleri hangi bağla birbirlerine bağlanırlar?|||||Glikozit
Hücrenin, kendisini virüslerden korumak için ürettiği maddelere ne ad verilir?|||||İnterferon
Karaçamın Latince adı nedir?|||||Pinus Nigra
Aseton yağı çözebilir mi?|||||Hayır
Katı haldeki besin maddelerinin hücre içine alınması hangi yolla olur?|||||Fagositoz
Bitkilerde glikoz ne olarak depo edilir?|||||Nişasta
DNA’da ki bilgiyi ribozomlara iletmek neyin görevidir?|||||RNA
İnsan vücudunda, miktarı ölçülebilen şeker hangisidir?|||||Glikoz
Küçük moleküllü maddelerden büyük moleküllü maddeler meydana gelmesine ne ad verilir?|||||Dehidrasyon
Akyuvar hücrelerinin kandaki bakterileri yemesi hangi yolla gerçekleşir?|||||Fagositoz
Eter hücre zarından geçebilir mi?|||||Evet
Besin maddelerini yaşadıkları canlılardan temin eden bakteriler hangi grupta yer alır?|||||Parazit
Mayoz bölünme sırasında 36 tetratın meydana geldiği eşey ana hücresi kaç kromozomludur?|||||72
Yapay sınıflandırmada canlıların hangi özellikleri dikkate alınmıştır?|||||Dış görünüşleri
Mayoz bölünmede kromatitler arasındaki karşılıklı gen alışverişine ne denir?|||||Krossing-over
Likenler hangi iki canlının ortak yaşamasıyla oluşur?|||||Bakteri-alg
İğ iplikleri oluşturarak hücre bölünmesinde görev alan organel hangisidir?|||||Sentrozom
Kardeş kromatitlerin birbirinden ayrılarak zıt kutuplara çekilmesi hücre bölünmesinin hangi evresinde gerçekleşir?|||||Anafaz
Bakteriler hangi canlı grubu içinde incelenirler?|||||Monera
Penisilin hangi mantarlardan elde edilir?|||||Küf
Aristo canlıları sınıflandırırken hangi özelliklerini dikkate almıştır?|||||Dış görünüş ve yaşama yeri
Sitoplazma bölünmesi, hücre bölünmesinin hangi evresinde başlar?|||||Telofaz
Ölmüş bitki ve hayvan artıkları ile beslenen bakteri grubuna ne denir?|||||Çürükçül
İki hücre teorisini ortaya atan bilim adamı kimdir?|||||Schleiden ve Schwann
Çözelti halindeki maddeler hücre içine hangi yolla alınırlar?|||||Pinositoz
Katı haldeki besin maddeleri hücre içine hangi yolla alınır?|||||Fagositoz
Hücrelerin bölünme için hazırlık yaptıkları evre hangisidir?|||||İnterfaz
Büyük moleküllerin hücre dışına atılması hangi yolla gerçekleşir?|||||Ekzositoz
Besinlerini dışarıdan hazır olarak alan bakterilere ne ad verilir?|||||Heterotrof Bakteriler
Belirli bir bölgede bulunan aynı türe ait bireylerin oluşturduğu topluluğa ne denir?|||||Popülâsyon
Hücrenin yapı, görev ve çoğalma ile ilgili özelliklerini inceleyen bilim dalının adı nedir?|||||Sitoloji
Bitki köklerinin suya yönelme hareketine ne denir?|||||Hidrotropizma
Kuduz aşısını hangi bilim adamı bulmuştur?|||||Pasteur
Bir problem için önerilen geçici çözüm yoluna ne denir?|||||Hipotez
Birlikte yaşan canlılardan birinin fayda sağlarken, diğerinin ne fayda ne de zarar gördüğü yaşama birlikteliğinin adı nedir?|||||Kommensalizm
Gözle görülmeyecek kadar küçük olan varlıkları belirli oranlarda büyüterek incelemeye yarayan araca ne ad verilir?|||||Mikroskop
Bezelyelerle yaptığı deneyler sonucu kalıtsal özelliklerin dölden döle geçişini, ilk olarak hangi bilim adamı açıklamıştır?|||||Gregor Mendel
Hücreyi ilk olarak tanımlayan bilim adamı kimdir?|||||Robert Hooke
Organizmaların döllenmiş yumurtadan itibaren gelişimini ve farklılaşmasını inceleyen bilim dalı hangisidir?|||||Embriyoloji
Laboratuvar çalışmalarında, herhangi bir canlının doğrudan sıvı ortamda mikroskopta incelenmesi tekniği aşağıdakilerden hangisidir?|||||Vital inceleme
Teorinin zamanla doğrulanarak bilimsel gerçeğe dönüşmesine ne denir?|||||Kanun
Bugün geçerli olmayan, canlılarda ilk sınıflandırmayı hangi bilim adamı yapmıştır?|||||Aristo
Biyolojinin al bilim dallarından hangisi canlıları benzerlik ve akrabalık derecelerine göre sınıflandırır?|||||Taksonomi
Hipotezin, gözlem ve deneylerle sürekli desteklenmesi ile hangi bilimsel basamağa ulaşılır?|||||Teori
Canlıların dış görünüşünü, biyolojinin hangi alt bilim dalı inceler?|||||Morfoloji
Bir organizmanın doğal olarak yaşadığı ve ürediği yere ne denir?|||||Habitat
Çiçekli bitkilerde embriyoyu çimlenme gerçekleşene kadar besleyen yapı hangisidir?|||||Endosperm
Birden fazla dişi organ ve çiçek tablasından gelişen meyveye ne ad verilir?|||||Bileşik yalancı meyve
Balık ve kurbağaların döllenmiş yumurtalarında hangi embriyonik örtü bulunur?|||||Vitellüs kesesi
Yüksek yapılı hayvanlarda embriyo gelişiminde hücrelerde farklılaşmanın olmadığı safha hangisidir?|||||Blastula
İnsanda normal bir gebelik süresi kaç gündür?|||||280
Hem erkek hem de dişi üreme hücrelerine sahip olan canlının kendi kendini döllemesine ne ad verilir?|||||Hermafroditizm
Yaprak dökümü ve meyvelerin oluşmasını hızlandıran hormon hangisidir?|||||Etilen
Hayvanlarda embriyonal gelişimde, nörilasyon aşamasından sonra hangi safha görülür?|||||Organogenez
Hangi üreme şekli sonucu bakterilerde, antibiyotiklere karşı direnç gelişir?|||||Konjugasyon
Çiçekli bitkilerde döllenmeden hemen sonra hangi olay gerçekleşir?|||||Zigot oluşumu
Çiçekli bitkilerde üreme olayında, tozlaşmadan önce hangi olay gerçekleşir?|||||Tohum taslağının oluşumu
Embriyo gelişiminde blastomerin morulaya dönüştüğü evre hangisidir?|||||Bölünme
Menstrual döngüde ilke evre hangisidir?|||||Folikül
Kemik dokunun ara maddesine ne ad verilir?|||||Osein
İnsanda protein sindirimi hangi organda tamamlanır?|||||İnce bağırsak
Fibroblast hangi dokunun hücresidir?|||||Temel bağ doku
Dilin arka kısmında hangi tat almaçları çok yoğun bulunur?|||||Acı
Bitkilerin bir cisimle temas ettiğinde verdiği tepkiye ne ad verilir?|||||Tigmotropizma
Bitkilerde koku ve bal özü hangi dokunun hücreleri tarafından üretilir?|||||Salgı doku
Bir uyaran ile uyarılma durumunda sinir hücresinde meydana gelen değişikliğe ne ad verilir?|||||İmpuls
Uygun olmayan ortamlarda tohumun çimlenmesini engelleyen hormon hangisidir?|||||Absisik asit
Yağların kimyasal sindirimi, sindirim sisteminin hangi kısmında gerçekleşir?|||||İnce bağırsak
Aşırı salgılandığında akramegali hastalığına sebep olan hormon hangisidir?|||||Hipofiz
Geviş getiren memelilerde kimyasal sindirim için gerekli enzimler hangi kısmın hücrelerinde üretilir?|||||Şirden
Fazla salgılandığında bitki büyümesini durduran, az salgılandığında ise yaprak dökülmesine sebep olan hormon hangisidir?|||||Oksin
Bitkinin ışığın geldiği yöne doğru yönelmesi neye örnektir?|||||Fototropizma
Kasın uyarılmasıyla kasılması arasında geçen süreye ne ad verilir?|||||Gizli evre
Bir bitkinin karanlıkta kalan kısmının daha çok uzamasında hangi hormon etkilidir?|||||Oksin
Doğadaki olayların gözlemlenip deneylerle test edilmesinden sonraki bilgi üretim faaliyetine ne denir?|||||Bilim
Hayvan türlerinin ilk sınıflandırılması kaç yılında yapılmıştır?|||||350
İbn-ün-nefis kılcal damar ve koroner dolaşımı kaç yılında bulmuştur?|||||1030
İlk mikroskopu kim icat etmiştir?|||||Zacharias Janssen
Mikroskop ne zaman icat edilmiştir?|||||1590
Hücre kavramını ilk kez kim kullanmıştır?|||||Robert Hooke
Hücre kavramı ilk ne zaman kullanılmıştır?|||||1650
Türün değişmezliğini ilk kez kim savunmuştur?|||||Carolus Linneaus
Sistematiğin temelini atan kimdir?|||||Carolus Linneaus
Carolus Linneaus sistematiğin temelini hangi yılda atmıştır?|||||1735
Bitkilerin oksijen vererek havayı temizlediği hipotezini ortaya atan kimdir?|||||Joseph Priestley
Bitkilerin oksijen vererek havayı temizlediği hipotezi hangi yıl ortaya atılmıştır?|||||1771
Fotosentezde ışık ve karbondioksitin etkisini bulan kimdir?|||||Jan Ingenhousz
Fotosentezde ışık ve karbondioksitin etkisi ilk kez hangi yıl açıklanmıştır?|||||1779
Araştırılacak probleme çözüm önerisi getiren, öncül gözlemlere ve tecrübelere dayanan, mevcut bilgi birikimi ışığında hazırlanmış, test edilebilir açıklamaya ne ad verilir?|||||Hipotez
Ortam şartlarından birinin değiştirildiği deney türüne ne denir?|||||Kontrollü deney
Değiştiğinde deneyin sonucunu etkileyen değişkene ne denir?|||||Bağımsız değişken
Deneyde etkisi araştırılan değişkene ne denir?|||||Bağımsız değişken
Bağımsız değişkene bağlı olarak değişen değişkene ne denir?|||||Bağımlı değişken
Toplanan verileri yorumlama sürecine ne denir?|||||Çıkarım
Belirli bir olayın belli şartlar altında nasıl gerçekleştiğini tarif eden bilgilere ne denir|||||Kanun
Doğada gerçekleşen olaylar hakkında yapılan ve arkasında güçlü deliller bulunan açıklamalara ne denir?|||||Teori
Canlıların yapısını moleküler düzeyde inceleyen bilim dalı nedir?|||||Moleküler biyoloji
Su, hava ve topraktaki kirleticilerin, mikroorganizmalar ve bitkiler gibi canlılar yoluyla zararsız bileşiklere dönüştürülmesine ne denir?|||||Biyoremediasyon
Çiçek aşısını kim keşfetmiştir?|||||Edward Jenner
Deniz, okyanus ve diğer sulardaki canlıları inceleyen bilim dalına ne denir?|||||Deniz biyolojisi
Suç teşkil eden adli olayları aydınlığa kavuşturmak için saç, kıl, tırnak, deri, kemik gibi biyolojik delilleri analiz eden bilim dalı nedir?|||||Kriminal biyoloji
Nükleik asitleri kim bulmuştıur?|||||Miescher
Nükleik asitler kaç yılında bulunmuştur?|||||1868
Kuduz aşısını kim bulmuştur?|||||Louis Pasteur
Kuduz aşısı kaç yılında bulunmuştur?|||||1885
X ışınlarını kim bulmuştur?|||||Wilhelm Rontgen
X ışınları ne zaman bulunmuştur?|||||1895
Kromozom teorisini ortaya atan kimdir?|||||Sutten
Kromozom teorisi hangi yıl ortaya atılmıştır?|||||1903
Penisilini kim bulmuştur?|||||Alexander Fleming
Penisilin ne zaman bulunmuştur?|||||1927
Ateş böceğinden tütün bitkisine yapılan ilk gen naklini gerçekleştiren kimdir?|||||Steven howell
Ateş böceğinden tütün bitkisine yapılan ilk gen nakli ne zaman gerçekleştirilmiştir?|||||1986
İlk hayvan klonlamasını kim gerçekleştirmiştir?|||||Ian Wilmut
İlk hayvan ne zaman klonlanmıştır?|||||1997
İlk klonlanan hayvan hangisidir?|||||Koyun
İnsan genom projesi ne zaman tamamlanmıştır?|||||2003
Tüm canlılardaki temel fonksiyonel yapı birimi nedir?|||||Hücre
Canlıların yaşamları boyunca geçirdikleri değişimlerin tümüne ne denir?|||||Gelişme
Canlıların kendi yapısından ve yaşadığı ortamdan kaynaklanan fiziksel ve kimyasal uyaranlara tepki göstermesine|||||Uyarılma
Canlıların bulundukları çevrede yaşamasını sağlayan kalıtsal, yapısal veya davranışsal değişikliklere ne denir?|||||Uyum
canlının enerji ihtiyacını karşılayabilmek için gerekli olan maddelerin, canlı dışı ortamlardan temin edilmesi faaliyetine ne denir?|||||Beslenme
Enerji elde etme sürecinde meydana gelen atıkların canlı  ücudundan dışarı atılması olayına ne denir?|||||Boşaltım
Canlıların kendisine benzer yeni canlılar oluşturmasına ne denir?|||||Üreme
canlıların hücrelerinde meydana gelen sindirim, solunum ve boşaltım gibi yaşamsal reaksiyonların tümüne|||||Metabolizma
büyük molekülleri daha küçük moleküllere yıkmak için gerçekleşen reaksiyonlara ne denir?|||||Katabolizma
Vücut içi dengeye ne denir?|||||Homeostasi
Üreyi ilk kim sentezlemiştir?|||||Friedrich wöhler
Üre ilk ne zaman sentezlenmiştir?|||||1828
Asetik asit ilk ne zaman sentezlenmiştir?|||||1845
Asetik asidi ilk kim sentezlemiştir? |||||Hermann Kolbe
Stearik asiti ilk kim sentezlemiştir?|||||Marcellin Berthelot
Stearik asit ilk ne zaman sentezlenmiştir?|||||1850
İlk organik sentetik boya nedir?|||||Anilin moru
Anilin morunu ilk kim sentezlemiştir?|||||William Perkin
Anilin moru ilk ne zaman sentezlenmiştir?|||||1856
Benzenin yapısını kim keşfetmiştir?|||||August Kekule
Benzenin yapısı ne zaman keşfedilmiştir?|||||1865
Simgesi Li olan elementin adı nedir?|||||Lityum
Simgesi Na olan elementin adı nedir?|||||Sodyum
Simgesi K olan elementin adı nedir?|||||Potasyum
Simgesi Rb olan elementin adı nedir?|||||Rubidyum
Simgesi Be olan elementin adı nedir?|||||Berilyum
Periyodik cetveldeki elementlerin kaç tanesi canlıların yapısında yer alır?|||||26
Kanda oksijen taşınmasını sağlayan element nedir?|||||Demir
İndigo'yu kim üretmiştir?|||||Adolf van Baeyer
İndigo ilk ne zaman üretilmiştir?|||||1867
Sulfanil amidi kim üretmiştir?|||||Farben Industries
Sulfanil amid ilk ne zaman üretilmiştir?|||||1908
DNA nükleotidlerinin kimyasal sentezini ilk kim gerçekleştirdi?|||||Gobind Khorana
DNA nükleotidlerinin kimyasal sentezini ilk ne zaman gerçekleştirildi?|||||1965
Su kaç derecede en yüksek özgül ağırlığa sahiptir?|||||4
Çözündüklerinde suya hidrojen iyonu veren maddelere ne denir?|||||Asit
Çözündüklerinde suya hidroksit iyonu veren maddelere ne denir?|||||Baz
Kırmızı turnusolu maviye çeviren maddelere ne denir?|||||Baz
Mavi turnusolu kırmızıya çeviren maddelere ne denir?|||||Asit
Hücrelerin birinci dereceden enerji kaynağı nedir?|||||Karbonhidratlar
Monosakkaritlerin diğer adı nedir?|||||Tek şekerliler
Yapılarında beş karbon bulunduran şekerlere ne denir?|||||Pentoz
İki basit şeker molekülünün birleşmesiyle oluşan şekerlere ne isim verilir?|||||Disakkaritler
Disakkaritlerin diğer adı nedir?|||||İki şekerliler
Disakkaritlerin su ile tepkimeye girerek yapı birimlerine ayrılmasına ne denir?|||||Hidroliz
İkiden fazla basit şeker molekülünün bir araya gelip, birleşerek meydana getirdikleri yeni kompleks moleküle ne denir?|||||Polisakkarit
Doğada en çok bulunan yağ çeşidi nediR?|||||Trigliseritler
Trigliseritlerin diğer adı nedir?|||||Nötral yağlar
Nötral yağların diğer adı nedir?|||||Trigliseritler
Vücutta üretilemeyen ve alınması zorunlu olan yağ asitlerine ne denir?|||||Esansiyel yağ asitleri
Organizmaların çatı molekülü nedir?|||||Proteinler
Kaç amino asit insan vücudunda sentezlenemez?|||||8
Isı nedeniyle amino asitlerin yapısının bozulmasına ne denir?|||||Denatürasyon
Bir enzimin etki edeceği maddeye ne denir?|||||Substrat
Reaksiyonların aktivasyon enerjisini düşüren, vücut sıcaklığında gerçekleşmesini sağlayan ve reaksiyon sonucu değişmeden çıkan kimyasal moleküllere ne denir?|||||Katalizör
Bir kimyasal reaksiyonun başlayabilmesi için gerekli olan en düşük enerji miktarına ne denir?|||||Aktivasyon enerjisi
Vücudunuzda iç salgı bezleri tarafından salgılanan, genellikle protein yapılı olan, kan tarafından hedef organa taşınan, düzenleyici organik moleküllere ne denir?|||||Hormon
Canlının boy uzunluğu, vücut şekli, metabolizma hızı gibi bütün özellikleri nerede bulunur?|||||Nükleik asitlerde
Genetik bilginin yeni hücrelere aktarılması hangi molekül ile sağlanır?|||||DNA
Protein sentezini yürüten nükleik asit hangisidir?|||||RNA
88.SAYFADA KALDIK|||||
Mikroskop kimin tarafından icat edilmiştir?|||||Zacharias Janssen
Hücre kavramını kullanan ilk kişi kimdir?|||||Robert Hooke
Bitki hücrelerindeki çekirdeği ilk gözlemleyen kimdir?|||||Robert Brown
Bitkilerin hücrelerden oluştuğunu ilk kim belirtmiştir?|||||Matthias Schleiden
Bitkilerin hücrelerden oluştuğu ilk ne zaman belirtilmiştir?|||||1839
Hayvanların hücrelerden oluştuğunu ilk kim belirtmiştir?|||||Theodore Schwann
Hayvanların hücrelerden oluştuğu ilk ne zaman belirtilmiştir?|||||1839
Bütün hücrelerin daha önceden varolan hücrelerden meydana geldiğini kim ortaya atmıştır?|||||Rudolph Wirchow
Prokaryot hücrelerin en büyük özelliği nedir?|||||Çekirdekleri zarsızdır
Prokaryot hücrelerde kalıtım materyali nerede bulunur?|||||Sitoplazmada
Ökaryot hücrelerde kalıtım materyali nerede bulunur?|||||Çekirdekte
Ökaryot hücreler temel olarak kaç kısımdan oluşur?|||||3
Hücrenin en dış kısımda bulunan, hücreyi dış etkilerden koruyan, genellikle selüloz fibriller içeren yapıya ne denir?|||||Hücre duvarı
Akıcı mozaik zar modelini kimler ortaya atmıştır?|||||Singer ve Nicholson
Akıcı mozaik zar modeli ne zaman ortaya atılmıştır?|||||1972
Hücre zarından belirli moleküllerin geçebilmesi özelliğine ne denir?|||||Seçici geçirgenlik
Moleküllerin hücre zarından enerji harcamadan, yoğunluk farkından dolayı hücre zarındaki yağ tabakasından veya protein kanallarından doğrudan geçmesine ne denir?|||||Pasif taşıma
Moleküllerin çok yoğun ortamdan az yoğun ortama doğru yayılmalarına ne denir?|||||Difüzyon
Su moleküllerinin, seçici geçirgen bir zardan, su miktarının çok olduğu ortamdan, su miktarının az olduğu ortama geçerek yayılması olayına ne denir?|||||Osmoz
Hücre içindeki suyun hücre zarına yaptığı basınca ne denir?|||||Turgor basıncı
Ortamda çözünmüş maddelerin hücre zarına yaptığı basınca ne denir?|||||Emme kuvveti
Bitki hücrelerinde görülen turgor olayı hangi organel tarafından yapılır?|||||Koful
Suyun difüzyonuna ne denir?|||||Osmoz
Hücrenin kendisinden daha yoğun olan ortama ne denir?|||||Hipertonik
Hücrenin kendisinden daha az yoğun olan ortama ne denir?|||||Hipotonik
Hücrenin kendisiyle eş yoğunluğa sahip olan ortama ne denir?|||||Hipotonik
Bir hücrenin kendisinden daha yoğun bir ortama konması sonucu su kaybederek büzülmesine ne denir?|||||Plazmoliz
Bir hücrenin kendisinden daha az yoğun bir ortama konması sonucu su alarak şişmesine ne denir?|||||Deplazmoliz
Bir maddenin hücre zarından enerji harcayarak geçmesine ne denir?|||||Aktif taşıma
Aktif taşıma için gerekli enerji nereden sağlanır?|||||ATP
Hücre zarından geçemeyecek büyüklükteki maddelerin hücre içine alınmasına ne denir?|||||Endositoz
Hücre zarından geçemeyecek büyüklükteki maddelerin hücre zarından yalancı ayaklar ile hücre içine alınmasına ne denir?|||||Fagositoz
Hücre içi sindirim artıkları ile bazı metabolik tepkimeler sonucunda ortaya çıkan atıkların hücre dışına atılması olayına ne denir?|||||Ekzositoz
Hücre zarı ile çekirdek arasını dolduran, yumurtanın akına benzer yarı akışkan sıvıdan oluşan yapıya ne ad verilir?|||||Sitoplazma
Hem ökaryot hem prokaryot hücrelerde protein sentezi görevi gören organelin adı nedir?|||||Ribozom
hücre zarından hücre çekirdeğine kadar uzanan kanallar sistemine ne denir?|||||Endoplazmik retikulum
Üretim, salgılama, paketleme ve depolama merkezi olan organel hangisidir?|||||Golgi cisimciği
Hücre içi sindirimde görevli olan organelin adı nedir?|||||Lizozom
Hücrenin kendi kendini sindirmesi olayına ne denir?|||||Otoliz
Hücrenin enerji santrallerine ne ad verilir?|||||Mitokondri
Hücre içinde enerji üretimden sorumlu organelin adı nedir?|||||Mitokondri
Salgılamada en çok görev yapan organelin adı nedir?|||||Golgi cisimciği
Hücrede ATP üretim merkezi neresidir?|||||Mitokondri
Bitki hücrelerine renk veren organellere ne denir?|||||Plastid
Yeşil renkli plastide ne ad verilir?|||||Kloroplast
Fotosentez hangi organelde yapılır?|||||Kloroplast
Kloroplastlarda bulunan ve güneş ışığını soğurmaya yarayan yapının adı nedir?|||||Klorofil
Yeşil renk dışındaki diğer renk pigmentlerini taşıyan yapılara ne denir?|||||Kromoplast
Kromoplasta kırmızı rengi veren madde nedir?|||||Likopen
Kromoplasta sarı rengi veren madde nedir?|||||Ksantofil
Kromoplasta turuncu rengi veren madde nedir?|||||Karoten
Bitkilerde besin depolayan plastide denir?|||||Lökoplast
Besin kofulları nasıl oluşur?|||||Fagositoz
Hücre bölümesinde eşleşen, çoğalmada rol alan organelin adı nedir?|||||Sentrozom
Çekirdeğin, çekirdek plazması ile hücre sitoplazmasını birbirinden ayıran bölümünün adı nedir?|||||Çekirdek zarı
İçinde kromatin iplik, çekirdekçik, mineral ve proteinlerin bulunduğu çekirdek bölümüne ne ad verilir?|||||Çekirdek plazması
Ribozomal RNA'nın sentezlendiği yere ne ad verilir?|||||Çekirdekçik
Hücre bölümesi esnasında kısalıp kalınlaşarak kromozomları oluşturan yapıya ne ad verilir?|||||Kromatin iplikçiği
İnsan vücut hücresinde kaç kromozom bulunur?|||||46
İnsan vücudunda bütün doku ve organları oluşturan ana hücrelere ne denir?|||||Kök hücre
Embriyonun erken dönemlerinde elde edilen kök hücrelere ne denir?|||||Embriyonik kök hücre
Hücre yapısındaki yapı ve işlev bozukluklarının vücut dışında uygun ortamlarda gözlenmesine ne denir?|||||Hücre kültürü
Canlılarda ilk sınıflandırmayı kim yapmıştır|||||Aristo
Canlılarda ilk sınıflandırma kaç yılında yapılmıştır|||||MÖ350
Bitkilerin tarii adlı eser kime aittir?|||||John Ray
John ray bitkilerin tarihi adlı eserini kaç yılında yazmıştır?|||||1686
Bitkilerin tarihi adlı eser hangi yıl yazılmıştır?|||||1686
